CustomerID,ChurnStatus,ChurnReason
C125,Churned,Service Quality
C126,Active,Other
C127,Active,Other
C128,Active,Pricing
C129,Active,Competitor
C130,Active,Service Quality
C131,Active,Competitor
C132,Active,Pricing
C133,Active,Competitor
C134,Active,Service Quality
C135,Active,Competitor
C136,Churned,Other
C137,Active,Service Quality
C138,Active,Service Quality
C139,Active,Pricing
C140,Active,Pricing
C141,Active,Competitor
C142,Active,Pricing
C143,Churned,Competitor
C144,Active,Other
C145,Active,Pricing
C146,Active,Competitor
C147,Active,Competitor
C148,Churned,Other
C149,Active,Competitor
C150,Active,Pricing
C151,Active,Other
C152,Active,Service Quality
C153,Active,Service Quality
C154,Active,Other
C155,Active,Pricing
C156,Active,Other
C157,Churned,Competitor
C158,Active,Competitor
C159,Active,Competitor
C160,Active,Service Quality
C161,Active,Other
C162,Active,Pricing
C163,Active,Pricing
C164,Active,Pricing
C165,Active,Pricing
C166,Churned,Pricing
C167,Active,Other
C168,Active,Service Quality
C169,Active,Pricing
C170,Churned,Pricing
C171,Active,Pricing
C172,Churned,Competitor
C173,Active,Other
C174,Active,Competitor
C175,Active,Other
C176,Active,Other
C177,Active,Pricing
C178,Churned,Pricing
C179,Active,Pricing
C180,Active,Pricing
C181,Active,Pricing
C182,Active,Other
C183,Active,Service Quality
C184,Active,Competitor
C185,Active,Other
C186,Active,Competitor
C187,Active,Pricing
C188,Active,Service Quality
C189,Churned,Other
C190,Active,Service Quality
C191,Active,Other
C192,Active,Competitor
C193,Active,Other
C194,Active,Competitor
C195,Active,Service Quality
C196,Active,Other
C197,Churned,Other
C198,Active,Pricing
C199,Active,Other
C200,Active,Pricing
C201,Active,Pricing
C202,Active,Other
C203,Churned,Competitor
C204,Active,Other
C205,Active,Service Quality
C206,Active,Other
C207,Active,Pricing
C208,Active,Other
C209,Active,Competitor
C210,Active,Pricing
C211,Active,Pricing
C212,Active,Other
C213,Active,Other
C214,Active,Service Quality
C215,Active,Competitor
C216,Active,Other
C217,Active,Competitor
C218,Churned,Competitor
C219,Active,Other
C220,Active,Pricing
C221,Active,Other
C222,Active,Pricing
C223,Active,Competitor
C224,Active,Competitor
C225,Active,Pricing
C226,Active,Service Quality
C227,Churned,Competitor
C228,Active,Other
C229,Churned,Service Quality
C230,Active,Service Quality
C231,Active,Service Quality
C232,Active,Other
C233,Active,Competitor
C234,Active,Competitor
C235,Active,Competitor
C236,Active,Pricing
C237,Active,Service Quality
C238,Active,Competitor
C239,Churned,Other
C240,Active,Other
C241,Active,Pricing
C242,Churned,Service Quality
C243,Active,Competitor
C244,Active,Pricing
C245,Active,Other
C246,Active,Competitor
C247,Churned,Other
C248,Active,Other
C249,Active,Competitor
C250,Active,Other
C251,Active,Competitor
C252,Active,Other
C253,Churned,Competitor
C254,Churned,Competitor
C255,Active,Other
C256,Active,Service Quality
C257,Churned,Service Quality
C258,Active,Other
C259,Active,Service Quality
C260,Active,Competitor
C261,Churned,Competitor
C262,Active,Competitor
C263,Active,Service Quality
C264,Active,Other
C265,Churned,Pricing
C266,Active,Pricing
C267,Active,Service Quality
C268,Active,Other
C269,Active,Service Quality
C270,Churned,Service Quality
C271,Active,Pricing
C272,Churned,Pricing
C273,Churned,Competitor
C274,Active,Other
C275,Active,Service Quality
C276,Active,Other
C277,Active,Other
C278,Active,Service Quality
C279,Active,Service Quality
C280,Active,Competitor
C281,Active,Service Quality
C282,Active,Competitor
C283,Churned,Other
C284,Active,Other
C285,Active,Other
C286,Active,Competitor
C287,Active,Service Quality
C288,Active,Service Quality
C289,Active,Service Quality
C290,Active,Service Quality
C291,Active,Service Quality
C292,Active,Competitor
C293,Active,Service Quality
C294,Active,Service Quality
C295,Active,Competitor
C296,Active,Competitor
C297,Active,Competitor
C298,Churned,Competitor
C299,Active,Other
C300,Active,Other
C301,Active,Pricing
C302,Active,Competitor
C303,Active,Other
C304,Active,Other
C305,Active,Service Quality
C306,Active,Other
C307,Active,Service Quality
C308,Active,Competitor
C309,Active,Service Quality
C310,Active,Service Quality
C311,Churned,Pricing
C312,Active,Other
C313,Active,Pricing
C314,Active,Pricing
C315,Active,Pricing
C316,Active,Pricing
C317,Active,Competitor
C318,Active,Other
C319,Active,Other
C320,Active,Pricing
C321,Active,Other
C322,Active,Competitor
C323,Active,Other
C324,Active,Competitor
C325,Active,Other
C326,Active,Service Quality
C327,Active,Service Quality
C328,Active,Service Quality
C329,Active,Pricing
C330,Active,Competitor
C331,Active,Competitor
C332,Active,Pricing
C333,Active,Pricing
C334,Active,Competitor
C335,Active,Competitor
C336,Active,Service Quality
C337,Active,Competitor
C338,Active,Service Quality
C339,Active,Service Quality
C340,Churned,Competitor
C341,Active,Other
C342,Active,Pricing
C343,Active,Pricing
C344,Active,Pricing
C345,Active,Service Quality
C346,Active,Service Quality
C347,Active,Pricing
C348,Active,Competitor
C349,Active,Pricing
C350,Active,Other
C351,Active,Pricing
C352,Active,Other
C353,Active,Pricing
C354,Active,Service Quality
C355,Active,Other
C356,Churned,Other
C357,Active,Competitor
C358,Active,Competitor
C359,Churned,Pricing
C360,Churned,Service Quality
C361,Active,Service Quality
C362,Active,Competitor
C363,Active,Competitor
C364,Active,Pricing
C365,Active,Service Quality
C366,Churned,Pricing
C367,Active,Pricing
C368,Churned,Other
C369,Churned,Pricing
C370,Active,Competitor
C371,Active,Competitor
C372,Active,Competitor
C373,Churned,Service Quality
C374,Active,Other
C375,Active,Pricing
C376,Active,Pricing
C377,Active,Other
C378,Churned,Other
C379,Active,Pricing
C380,Churned,Competitor
C381,Active,Pricing
C382,Active,Service Quality
C383,Active,Other
C384,Active,Service Quality
C385,Churned,Other
C386,Active,Service Quality
C387,Active,Service Quality
C388,Active,Pricing
C389,Churned,Competitor
C390,Active,Other
C391,Active,Other
C392,Churned,Service Quality
C393,Active,Service Quality
C394,Active,Service Quality
C395,Active,Pricing
C396,Active,Other
C397,Churned,Competitor
C398,Active,Pricing
C399,Active,Service Quality
C400,Active,Service Quality
C401,Active,Pricing
C402,Active,Pricing
C403,Active,Pricing
C404,Active,Pricing
C405,Churned,Competitor
C406,Churned,Other
C407,Active,Other
C408,Churned,Competitor
C409,Active,Competitor
C410,Active,Service Quality
C411,Churned,Pricing
C412,Active,Service Quality
C413,Active,Service Quality
C414,Active,Service Quality
C415,Active,Other
C416,Active,Other
C417,Active,Service Quality
C418,Churned,Other
C419,Active,Service Quality
C420,Active,Service Quality
C421,Active,Pricing
C422,Active,Service Quality
C423,Active,Competitor
C424,Active,Competitor
C425,Active,Service Quality
C426,Active,Competitor
C427,Active,Pricing
C428,Active,Other
C429,Active,Other
C430,Active,Pricing
C431,Active,Pricing
C432,Churned,Pricing
C433,Active,Other
C434,Active,Competitor
C435,Active,Pricing
C436,Churned,Service Quality
C437,Active,Other
C438,Churned,Competitor
C439,Active,Service Quality
C440,Active,Other
C441,Active,Service Quality
C442,Active,Other
C443,Active,Other
C444,Active,Competitor
C445,Active,Other
C446,Active,Other
C447,Active,Competitor
C448,Active,Other
C449,Churned,Service Quality
C450,Active,Pricing
C451,Churned,Competitor
C452,Churned,Other
C453,Active,Pricing
C454,Active,Service Quality
C455,Active,Pricing
C456,Active,Competitor
C457,Active,Service Quality
C458,Active,Other
C459,Active,Other
C460,Active,Competitor
C461,Active,Pricing
C462,Active,Other
C463,Active,Pricing
C464,Active,Competitor
C465,Active,Pricing
C466,Churned,Pricing
C467,Active,Pricing
C468,Active,Other
C469,Active,Pricing
C470,Churned,Competitor
C471,Active,Competitor
C472,Active,Service Quality
C473,Active,Competitor
C474,Active,Other
C475,Churned,Service Quality
C476,Active,Service Quality
C477,Churned,Other
C478,Active,Competitor
C479,Active,Pricing
C480,Active,Service Quality
C481,Active,Pricing
C482,Active,Pricing
C483,Active,Pricing
C484,Active,Competitor
C485,Churned,Service Quality
C486,Active,Other
C487,Active,Pricing
C488,Active,Other
C489,Active,Other
C490,Active,Pricing
C491,Active,Other
C492,Active,Other
C493,Active,Service Quality
C494,Active,Other
C495,Active,Pricing
C496,Active,Other
C497,Active,Other
C498,Churned,Other
C499,Active,Other
C500,Active,Service Quality
C501,Churned,Service Quality
C502,Active,Other
C503,Active,Competitor
C504,Active,Competitor
C505,Churned,Pricing
C506,Active,Other
C507,Active,Other
C508,Active,Other
C509,Active,Service Quality
C510,Churned,Service Quality
C511,Active,Competitor
C512,Churned,Service Quality
C513,Churned,Competitor
C514,Active,Service Quality
C515,Active,Service Quality
C516,Active,Competitor
C517,Active,Other
C518,Active,Competitor
C519,Active,Service Quality
C520,Active,Competitor
C521,Active,Service Quality
C522,Active,Other
C523,Churned,Pricing
C524,Churned,Service Quality
C525,Churned,Other
C526,Active,Service Quality
C527,Churned,Other
C528,Active,Pricing
C529,Active,Service Quality
C530,Active,Pricing
C531,Active,Pricing
C532,Churned,Pricing
C533,Active,Other
C534,Active,Competitor
C535,Active,Service Quality
C536,Active,Other
C537,Churned,Competitor
C538,Churned,Service Quality
C539,Active,Pricing
C540,Active,Pricing
C541,Active,Competitor
C542,Active,Other
C543,Active,Service Quality
C544,Churned,Service Quality
C545,Active,Service Quality
C546,Active,Service Quality
C547,Active,Competitor
C548,Active,Service Quality
C549,Active,Service Quality
C550,Active,Pricing
C551,Active,Other
C552,Active,Other
C553,Active,Other
C554,Active,Service Quality
C555,Churned,Competitor
C556,Active,Competitor
C557,Active,Other
C558,Active,Competitor
C559,Active,Competitor
C560,Churned,Service Quality
C561,Active,Service Quality
C562,Active,Competitor
C563,Active,Pricing
C564,Active,Service Quality
C565,Active,Other
C566,Active,Other
C567,Active,Other
C568,Active,Pricing
C569,Active,Other
C570,Active,Service Quality
C571,Churned,Service Quality
C572,Active,Service Quality
C573,Churned,Pricing
C574,Active,Service Quality
C575,Active,Service Quality
C576,Active,Competitor
C577,Active,Competitor
C578,Active,Service Quality
C579,Active,Other
C580,Active,Service Quality
C581,Churned,Competitor
C582,Churned,Pricing
C583,Active,Pricing
C584,Active,Service Quality
C585,Active,Other
C586,Churned,Competitor
C587,Active,Competitor
C588,Active,Other
C589,Active,Service Quality
C590,Active,Pricing
C591,Active,Service Quality
C592,Active,Competitor
C593,Active,Service Quality
C594,Active,Competitor
C595,Active,Other
C596,Active,Service Quality
C597,Churned,Pricing
C598,Active,Pricing
C599,Active,Other
C600,Active,Competitor
C601,Active,Service Quality
C602,Active,Service Quality
C603,Active,Competitor
C604,Churned,Service Quality
C605,Active,Pricing
C606,Active,Other
C607,Active,Pricing
C608,Active,Other
C609,Churned,Other
C610,Churned,Other
C611,Active,Competitor
C612,Active,Pricing
C613,Active,Competitor
C614,Active,Other
C615,Active,Other
C616,Churned,Service Quality
C617,Churned,Service Quality
C618,Active,Service Quality
C619,Active,Other
C620,Churned,Pricing
C621,Active,Competitor
C622,Active,Pricing
C623,Churned,Service Quality
C624,Active,Other
C625,Active,Other
C626,Active,Service Quality
C627,Active,Pricing
C628,Active,Competitor
C629,Active,Service Quality
C630,Active,Other
C631,Active,Competitor
C632,Active,Service Quality
C633,Active,Service Quality
C634,Churned,Pricing
C635,Active,Service Quality
C636,Churned,Pricing
C637,Active,Service Quality
C638,Active,Service Quality
C639,Active,Service Quality
C640,Active,Other
C641,Active,Other
C642,Active,Service Quality
C643,Active,Other
C644,Active,Other
C645,Churned,Pricing
C646,Active,Pricing
C647,Active,Service Quality
C648,Active,Other
C649,Churned,Pricing
C650,Churned,Pricing
C651,Churned,Other
C652,Active,Service Quality
C653,Active,Competitor
C654,Churned,Competitor
C655,Active,Competitor
C656,Active,Other
C657,Active,Competitor
C658,Active,Service Quality
C659,Churned,Service Quality
C660,Active,Competitor
C661,Churned,Service Quality
C662,Churned,Other
C663,Active,Service Quality
C664,Active,Service Quality
C665,Active,Pricing
C666,Active,Other
C667,Active,Pricing
C668,Active,Pricing
C669,Active,Service Quality
C670,Active,Competitor
C671,Active,Competitor
C672,Active,Pricing
C673,Active,Other
C674,Active,Service Quality
C675,Active,Pricing
C676,Active,Competitor
C677,Active,Competitor
C678,Churned,Service Quality
C679,Active,Pricing
C680,Active,Other
C681,Active,Competitor
C682,Active,Other
C683,Churned,Service Quality
C684,Active,Competitor
C685,Active,Other
C686,Active,Service Quality
C687,Active,Other
C688,Active,Service Quality
C689,Active,Competitor
C690,Churned,Other
C691,Active,Service Quality
C692,Active,Pricing
C693,Active,Competitor
C694,Active,Service Quality
C695,Churned,Competitor
C696,Active,Other
C697,Active,Pricing
C698,Churned,Other
C699,Active,Pricing
C700,Active,Competitor
C701,Active,Other
C702,Active,Other
C703,Churned,Other
C704,Active,Service Quality
C705,Churned,Pricing
C706,Active,Other
C707,Active,Other
C708,Active,Service Quality
C709,Active,Pricing
C710,Active,Pricing
C711,Churned,Other
C712,Active,Competitor
C713,Active,Other
C714,Active,Other
C715,Churned,Competitor
C716,Churned,Competitor
C717,Active,Pricing
C718,Active,Other
C719,Active,Pricing
C720,Active,Service Quality
C721,Active,Pricing
C722,Active,Service Quality
C723,Active,Pricing
C724,Active,Pricing
C725,Active,Pricing
C726,Active,Competitor
C727,Churned,Other
C728,Active,Pricing
C729,Churned,Other
C730,Active,Service Quality
C731,Active,Other
C732,Active,Competitor
C733,Churned,Competitor
C734,Active,Service Quality
C735,Active,Other
C736,Active,Competitor
C737,Active,Service Quality
C738,Active,Competitor
C739,Churned,Competitor
C740,Active,Competitor
C741,Active,Competitor
C742,Active,Service Quality
C743,Churned,Competitor
C744,Active,Other
C745,Active,Other
C746,Active,Competitor
C747,Active,Service Quality
C748,Active,Pricing
C749,Active,Competitor
C750,Active,Pricing
C751,Churned,Service Quality
C752,Active,Pricing
C753,Active,Service Quality
C754,Active,Other
C755,Active,Pricing
C756,Active,Pricing
C757,Active,Competitor
C758,Active,Pricing
C759,Churned,Other
C760,Active,Other
C761,Active,Service Quality
C762,Active,Other
C763,Active,Competitor
C764,Churned,Other
C765,Active,Pricing
C766,Churned,Other
C767,Active,Competitor
C768,Active,Service Quality
C769,Churned,Other
C770,Active,Service Quality
C771,Active,Competitor
C772,Active,Competitor
C773,Active,Pricing
C774,Active,Other
C775,Churned,Other
C776,Active,Pricing
C777,Churned,Pricing
C778,Active,Service Quality
C779,Active,Pricing
C780,Churned,Pricing
C781,Active,Other
C782,Churned,Service Quality
C783,Churned,Service Quality
C784,Active,Other
C785,Active,Service Quality
C786,Active,Other
C787,Active,Service Quality
C788,Active,Service Quality
C789,Active,Other
C790,Active,Competitor
C791,Active,Competitor
C792,Churned,Competitor
C793,Active,Pricing
C794,Active,Competitor
C795,Active,Other
C796,Active,Other
C797,Churned,Other
C798,Active,Pricing
C799,Active,Pricing
C800,Active,Competitor
C801,Churned,Pricing
C802,Active,Other
C803,Active,Pricing
C804,Active,Competitor
C805,Active,Service Quality
C806,Churned,Pricing
C807,Active,Other
C808,Churned,Other
C809,Active,Pricing
C810,Active,Service Quality
C811,Active,Other
C812,Active,Pricing
C813,Active,Service Quality
C814,Active,Pricing
C815,Active,Pricing
C816,Active,Pricing
C817,Active,Pricing
C818,Churned,Service Quality
C819,Active,Other
C820,Active,Other
C821,Active,Pricing
C822,Active,Service Quality
C823,Active,Other
C824,Active,Other
C825,Active,Pricing
C826,Active,Competitor
C827,Churned,Competitor
C828,Active,Other
C829,Active,Service Quality
C830,Active,Competitor
C831,Churned,Competitor
C832,Active,Pricing
C833,Active,Service Quality
C834,Active,Other
C835,Active,Service Quality
C836,Active,Other
C837,Active,Service Quality
C838,Active,Pricing
C839,Active,Other
C840,Active,Other
C841,Active,Competitor
C842,Active,Competitor
C843,Churned,Pricing
C844,Active,Service Quality
C845,Active,Service Quality
C846,Churned,Service Quality
C847,Active,Other
C848,Active,Competitor
C849,Active,Competitor
C850,Active,Service Quality
C851,Active,Competitor
C852,Active,Pricing
C853,Active,Competitor
C854,Active,Service Quality
C855,Active,Pricing
C856,Active,Service Quality
C857,Churned,Pricing
C858,Active,Service Quality
C859,Active,Service Quality
C860,Active,Pricing
C861,Active,Pricing
C862,Active,Service Quality
C863,Active,Service Quality
C864,Active,Service Quality
C865,Active,Competitor
C866,Active,Service Quality
C867,Churned,Competitor
C868,Active,Service Quality
C869,Active,Other
C870,Churned,Other
C871,Active,Competitor
C872,Churned,Other
C873,Churned,Pricing
C874,Active,Other
C875,Churned,Pricing
C876,Churned,Pricing
C877,Active,Other
C878,Active,Pricing
C879,Active,Service Quality
C880,Churned,Competitor
C881,Active,Other
C882,Churned,Other
C883,Active,Competitor
C884,Active,Service Quality
C885,Active,Service Quality
C886,Active,Service Quality
C887,Active,Service Quality
C888,Active,Competitor
C889,Churned,Service Quality
C890,Active,Competitor
C891,Churned,Service Quality
C892,Active,Service Quality
C893,Active,Other
C894,Active,Service Quality
C895,Churned,Other
C896,Churned,Pricing
C897,Churned,Service Quality
C898,Active,Competitor
C899,Active,Pricing
C900,Active,Pricing
C901,Active,Competitor
C902,Active,Competitor
C903,Churned,Other
C904,Active,Pricing
C905,Active,Service Quality
C906,Active,Competitor
C907,Active,Pricing
C908,Active,Other
C909,Active,Other
C910,Active,Competitor
C911,Active,Service Quality
C912,Active,Pricing
C913,Active,Competitor
C914,Active,Pricing
C915,Active,Competitor
C916,Active,Competitor
C917,Active,Service Quality
C918,Active,Pricing
C919,Churned,Competitor
C920,Active,Other
C921,Churned,Competitor
C922,Active,Competitor
C923,Active,Other
C924,Active,Service Quality
C925,Active,Other
C926,Churned,Service Quality
C927,Active,Service Quality
C928,Churned,Competitor
C929,Active,Other
C930,Churned,Pricing
C931,Active,Pricing
C932,Active,Competitor
C933,Active,Pricing
C934,Active,Service Quality
C935,Active,Service Quality
C936,Active,Pricing
C937,Active,Pricing
C938,Active,Competitor
C939,Active,Other
C940,Active,Service Quality
C941,Active,Other
C942,Churned,Competitor
C943,Active,Service Quality
C944,Active,Pricing
C945,Active,Competitor
C946,Active,Service Quality
C947,Active,Pricing
C948,Active,Competitor
C949,Churned,Competitor
C950,Active,Other
C951,Active,Other
C952,Active,Pricing
C953,Active,Pricing
C954,Active,Service Quality
C955,Active,Pricing
C956,Active,Pricing
C957,Active,Service Quality
C958,Active,Other
C959,Churned,Other
C960,Active,Pricing
C961,Active,Pricing
C962,Active,Other
C963,Churned,Competitor
C964,Active,Other
C965,Active,Other
C966,Active,Other
C967,Active,Pricing
C968,Active,Service Quality
C969,Active,Competitor
C970,Active,Service Quality
C971,Active,Other
C972,Active,Service Quality
C973,Churned,Other
C974,Churned,Pricing
C975,Active,Competitor
C976,Active,Service Quality
C977,Active,Pricing
C978,Active,Service Quality
C979,Churned,Service Quality
C980,Active,Pricing
C981,Active,Other
C982,Active,Service Quality
C983,Churned,Pricing
C984,Active,Other
C985,Active,Pricing
C986,Active,Other
C987,Active,Pricing
C988,Churned,Other
C989,Active,Pricing
C990,Churned,Competitor
C991,Active,Pricing
C992,Active,Competitor
C993,Churned,Other
C994,Active,Other
C995,Active,Other
C996,Active,Other
C997,Active,Pricing
C998,Active,Competitor
C999,Active,Competitor
C1000,Active,Competitor
C1001,Active,Competitor
C1002,Active,Pricing
C1003,Active,Service Quality
C1004,Active,Service Quality
C1005,Churned,Service Quality
C1006,Active,Other
C1007,Active,Competitor
C1008,Active,Competitor
C1009,Active,Other
C1010,Active,Other
C1011,Active,Pricing
C1012,Active,Competitor
C1013,Churned,Pricing
C1014,Churned,Service Quality
C1015,Active,Other
C1016,Active,Pricing
C1017,Active,Pricing
C1018,Active,Other
C1019,Churned,Pricing
C1020,Active,Pricing
C1021,Churned,Pricing
C1022,Active,Service Quality
C1023,Active,Competitor
C1024,Active,Other
C1025,Active,Pricing
C1026,Churned,Other
C1027,Active,Service Quality
C1028,Churned,Pricing
C1029,Active,Other
C1030,Active,Pricing
C1031,Active,Pricing
C1032,Active,Service Quality
C1033,Active,Service Quality
C1034,Active,Other
C1035,Active,Other
C1036,Active,Competitor
C1037,Active,Service Quality
C1038,Churned,Other
C1039,Active,Other
C1040,Active,Other
C1041,Churned,Service Quality
C1042,Churned,Other
C1043,Active,Service Quality
C1044,Active,Competitor
C1045,Active,Other
C1046,Churned,Competitor
C1047,Active,Service Quality
C1048,Churned,Other
C1049,Active,Competitor
C1050,Active,Competitor
C1051,Active,Competitor
C1052,Active,Pricing
C1053,Active,Other
C1054,Churned,Other
C1055,Active,Other
C1056,Active,Pricing
C1057,Churned,Service Quality
C1058,Active,Pricing
C1059,Active,Competitor
C1060,Churned,Competitor
C1061,Active,Other
C1062,Active,Service Quality
C1063,Active,Pricing
C1064,Active,Other
C1065,Churned,Other
C1066,Active,Pricing
C1067,Active,Competitor
C1068,Active,Other
C1069,Active,Pricing
C1070,Churned,Competitor
C1071,Active,Other
C1072,Active,Competitor
C1073,Churned,Competitor
C1074,Active,Pricing
C1075,Active,Competitor
C1076,Active,Pricing
C1077,Active,Service Quality
C1078,Active,Other
C1079,Active,Pricing
C1080,Active,Competitor
C1081,Churned,Other
C1082,Active,Pricing
C1083,Churned,Service Quality
C1084,Active,Competitor
C1085,Active,Service Quality
C1086,Active,Other
C1087,Churned,Service Quality
C1088,Active,Competitor
C1089,Active,Pricing
C1090,Active,Pricing
C1091,Active,Pricing
C1092,Active,Pricing
C1093,Active,Pricing
C1094,Active,Service Quality
C1095,Active,Pricing
C1096,Churned,Service Quality
C1097,Active,Other
C1098,Active,Competitor
C1099,Active,Competitor
C1100,Active,Other
C1101,Active,Competitor
C1102,Active,Service Quality
C1103,Active,Other
C1104,Churned,Competitor
C1105,Churned,Service Quality
C1106,Active,Competitor
C1107,Active,Other
C1108,Active,Other
C1109,Active,Other
C1110,Active,Other
C1111,Active,Service Quality
C1112,Active,Pricing
C1113,Active,Service Quality
C1114,Active,Service Quality
C1115,Active,Pricing
C1116,Churned,Other
C1117,Active,Competitor
C1118,Active,Other
C1119,Active,Competitor
C1120,Active,Pricing
C1121,Active,Other
C1122,Active,Competitor
C1123,Active,Other
C1124,Active,Competitor
C1125,Active,Other
C1126,Active,Competitor
C1127,Active,Pricing
C1128,Active,Competitor
C1129,Churned,Service Quality
C1130,Churned,Service Quality
C1131,Active,Pricing
C1132,Active,Pricing
C1133,Active,Competitor
C1134,Active,Pricing
C1135,Active,Pricing
C1136,Active,Competitor
C1137,Active,Service Quality
C1138,Active,Pricing
C1139,Active,Pricing
C1140,Active,Service Quality
C1141,Active,Service Quality
C1142,Active,Pricing
C1143,Active,Service Quality
C1144,Active,Competitor
C1145,Active,Pricing
C1146,Active,Service Quality
C1147,Active,Competitor
C1148,Churned,Pricing
C1149,Active,Service Quality
C1150,Active,Service Quality
C1151,Churned,Service Quality
C1152,Active,Other
C1153,Active,Pricing
C1154,Active,Competitor
C1155,Active,Other
C1156,Active,Pricing
C1157,Active,Other
C1158,Active,Service Quality
C1159,Active,Service Quality
C1160,Active,Service Quality
C1161,Churned,Competitor
C1162,Churned,Competitor
C1163,Active,Competitor
C1164,Active,Competitor
C1165,Active,Competitor
C1166,Active,Other
C1167,Churned,Competitor
C1168,Active,Competitor
C1169,Active,Competitor
C1170,Active,Pricing
C1171,Active,Competitor
C1172,Active,Service Quality
C1173,Active,Pricing
C1174,Active,Other
C1175,Active,Other
C1176,Active,Service Quality
C1177,Active,Competitor
C1178,Active,Other
C1179,Churned,Service Quality
C1180,Active,Service Quality
C1181,Active,Other
C1182,Active,Other
C1183,Churned,Pricing
C1184,Churned,Service Quality
C1185,Active,Service Quality
C1186,Active,Other
C1187,Active,Other
C1188,Active,Pricing
C1189,Active,Pricing
C1190,Active,Service Quality
C1191,Active,Service Quality
C1192,Active,Competitor
C1193,Active,Competitor
C1194,Active,Other
C1195,Churned,Other
C1196,Active,Pricing
C1197,Active,Other
C1198,Active,Service Quality
C1199,Churned,Other
C1200,Churned,Pricing
C1201,Active,Competitor
C1202,Active,Service Quality
C1203,Active,Pricing
C1204,Active,Pricing
C1205,Active,Competitor
C1206,Churned,Pricing
C1207,Active,Other
C1208,Churned,Other
C1209,Churned,Pricing
C1210,Active,Pricing
C1211,Active,Service Quality
C1212,Active,Service Quality
C1213,Active,Other
C1214,Active,Pricing
C1215,Active,Competitor
C1216,Churned,Pricing
C1217,Churned,Other
C1218,Active,Pricing
C1219,Active,Pricing
C1220,Active,Other
C1221,Active,Pricing
C1222,Active,Pricing
C1223,Active,Other
C1224,Active,Service Quality
C1225,Churned,Competitor
C1226,Churned,Service Quality
C1227,Active,Service Quality
C1228,Active,Pricing
C1229,Active,Other
C1230,Active,Service Quality
C1231,Active,Other
C1232,Active,Pricing
C1233,Active,Service Quality
C1234,Active,Pricing
C1235,Active,Service Quality
C1236,Active,Service Quality
C1237,Active,Other
C1238,Active,Other
C1239,Churned,Pricing
C1240,Churned,Service Quality
C1241,Churned,Competitor
C1242,Active,Service Quality
C1243,Active,Competitor
C1244,Active,Competitor
C1245,Active,Service Quality
C1246,Active,Other
C1247,Churned,Competitor
C1248,Active,Competitor
C1249,Active,Pricing
C1250,Active,Service Quality
C1251,Active,Other
C1252,Active,Pricing
C1253,Active,Other
C1254,Active,Other
C1255,Active,Service Quality
