PurchaseID,CustomerID,ProductID,PurchaseAmount,PurchaseDate
PH197,C3531,P4477,123.92,2023-03-28
PH198,C1063,P1437,670.45,2023-09-15
PH199,C2657,P2083,744.51,2023-05-30
PH200,C349,P1779,895.8,2023-07-08
PH201,C2878,P1082,686.86,2023-11-25
PH202,C2177,P56,164.12,2023-01-29
PH203,C1316,P1445,462.94,2023-12-11
PH204,C314,P3559,945.38,2023-05-19
PH205,C3505,P2231,56.28,2023-03-07
PH206,C147,P3035,293.53,2023-11-06
PH207,C4101,P3532,504.17,2023-05-13
PH208,C2286,P1305,86.73,2023-10-31
PH209,C1007,P3610,17.89,2023-07-30
PH210,C1577,P3277,133.46,2023-05-28
PH211,C1312,P235,495.14,2023-12-24
PH212,C3367,P2859,731.59,2023-09-11
PH213,C3136,P483,541.26,2023-06-16
PH214,C2563,P438,469.07,2023-09-02
PH215,C1908,P1693,486.47,2023-08-17
PH216,C4992,P2281,716.25,2023-06-21
PH217,C3024,P989,420.4,2023-03-27
PH218,C3744,P769,423.46,2023-05-03
PH219,C3013,P794,886.01,2023-05-10
PH220,C666,P2608,640.76,2023-12-13
PH221,C842,P4971,20.52,2023-02-19
PH222,C3993,P1179,387.83,2023-08-28
PH223,C157,P3186,612.02,2023-09-08
PH224,C4272,P1412,904.44,2023-06-03
PH225,C2203,P2055,192.53,2023-04-20
PH226,C3668,P1769,855.36,2023-04-01
PH227,C1297,P1375,676.25,2023-06-11
PH228,C2854,P2051,977.76,2023-04-16
PH229,C923,P4409,544.7,2023-11-27
PH230,C551,P1472,810.86,2023-11-13
PH231,C3523,P2601,570.88,2023-06-19
PH232,C2085,P839,176.15,2023-05-26
PH233,C4631,P4366,880.46,2023-12-23
PH234,C4120,P434,524.37,2023-02-15
PH235,C2226,P4452,287.2,2023-08-01
PH236,C4025,P4682,199.04,2023-04-28
PH237,C4260,P2445,971.89,2023-05-01
PH238,C2550,P4167,177.65,2023-08-12
PH239,C467,P2710,22.95,2023-09-24
PH240,C4827,P2192,521.39,2023-06-15
PH241,C3439,P4771,748.88,2023-04-16
PH242,C3269,P1863,918.41,2023-08-16
PH243,C695,P301,150.29,2023-06-26
PH244,C2009,P826,720.82,2023-05-14
PH245,C2682,P3983,472.97,2023-05-28
PH246,C4702,P678,506.2,2023-05-22
PH247,C4618,P482,72.78,2023-09-27
PH248,C1059,P3592,332.29,2023-12-02
PH249,C3977,P1022,32.43,2023-03-04
PH250,C1845,P1005,542.44,2023-09-23
PH251,C2678,P3641,196.38,2023-08-28
PH252,C3631,P1036,312.73,2023-04-23
PH253,C1902,P3546,997.74,2023-01-11
PH254,C100,P2764,696.57,2023-02-01
PH255,C313,P913,283.98,2023-01-10
PH256,C1,P2142,970.48,2023-02-17
PH257,C3530,P2070,195.35,2023-10-22
PH258,C2196,P1896,584.2,2023-07-29
PH259,C898,P2321,448.53,2023-06-10
PH260,C2358,P4065,389.32,2023-01-24
PH261,C3505,P19,643.05,2023-01-14
PH262,C4491,P1864,454.44,2023-04-18
PH263,C3823,P3977,697.76,2023-03-08
PH264,C1936,P4444,801.58,2023-10-02
PH265,C4087,P4820,388.85,2023-08-01
PH266,C1304,P3948,698.98,2023-11-22
PH267,C4658,P1843,256.45,2023-01-02
PH268,C1760,P1094,829.77,2023-07-29
PH269,C921,P1380,657.76,2023-12-10
PH270,C1357,P239,330.76,2023-09-17
PH271,C3745,P1936,571.77,2023-11-30
PH272,C3288,P2390,964.99,2023-12-04
PH273,C4799,P3712,750.28,2023-04-24
PH274,C960,P1291,945.79,2023-07-31
PH275,C1679,P1499,305.02,2023-02-16
PH276,C2244,P3017,671.5,2023-03-05
PH277,C4215,P654,773.0,2023-10-05
PH278,C76,P3189,838.37,2023-08-03
PH279,C3783,P1376,475.46,2023-05-16
PH280,C4131,P1704,538.06,2023-07-02
PH281,C6,P1269,499.29,2023-03-10
PH282,C2124,P4147,101.16,2023-08-01
PH283,C2303,P1087,583.02,2023-01-01
PH284,C1382,P2915,792.09,2023-12-29
PH285,C1722,P181,160.9,2023-03-01
PH286,C237,P1932,874.91,2023-04-04
PH287,C934,P3264,536.12,2023-03-29
PH288,C4056,P3537,801.96,2023-08-07
PH289,C2871,P3398,386.85,2023-03-25
PH290,C41,P2826,526.95,2023-01-15
PH291,C3463,P3274,411.57,2023-09-18
PH292,C3627,P4067,294.06,2023-12-28
PH293,C1550,P3753,705.11,2023-01-12
PH294,C3948,P3559,302.32,2023-03-21
PH295,C664,P256,789.26,2023-03-19
PH296,C3937,P3021,806.91,2023-10-19
PH297,C4090,P2001,597.33,2023-02-12
PH298,C3030,P3332,872.49,2023-04-21
PH299,C3329,P2121,69.02,2023-05-28
PH300,C97,P4683,733.06,2023-09-29
PH301,C2868,P3639,225.31,2023-03-07
PH302,C2429,P1298,864.11,2023-06-21
PH303,C223,P1123,437.49,2023-06-14
PH304,C2867,P1916,33.4,2023-06-19
PH305,C2125,P4952,56.44,2023-05-31
PH306,C3151,P2854,412.35,2023-11-29
PH307,C3436,P4377,168.14,2023-07-28
PH308,C2725,P856,878.92,2023-08-21
PH309,C2067,P1693,552.03,2023-02-04
PH310,C3262,P991,292.83,2023-03-19
PH311,C1524,P3713,119.54,2023-06-22
PH312,C2327,P3286,143.09,2023-02-01
PH313,C4444,P3950,474.43,2023-08-15
PH314,C3511,P3540,422.25,2023-04-13
PH315,C2018,P2242,581.12,2023-08-06
PH316,C1700,P4116,385.35,2023-11-24
PH317,C3412,P4028,992.63,2023-06-10
PH318,C2776,P3624,544.15,2023-01-26
PH319,C944,P2025,355.33,2023-06-01
PH320,C3578,P3251,528.98,2023-12-29
PH321,C1604,P351,570.96,2023-02-17
PH322,C4160,P2851,17.12,2023-11-24
PH323,C4444,P683,681.59,2023-11-10
PH324,C3051,P930,133.59,2023-11-29
PH325,C1309,P4745,225.52,2023-04-19
PH326,C2865,P1745,499.55,2023-09-11
PH327,C1317,P4527,370.45,2023-06-13
PH328,C3921,P4200,212.97,2023-03-16
PH329,C4241,P3700,345.52,2023-11-14
PH330,C4966,P2330,795.65,2023-03-30
PH331,C3255,P4264,849.94,2023-05-05
PH332,C128,P4999,300.19,2023-11-15
PH333,C1064,P1459,927.59,2023-07-12
PH334,C4299,P4803,111.95,2023-05-06
PH335,C2830,P2424,501.01,2023-11-14
PH336,C404,P94,298.43,2023-08-18
PH337,C2687,P3972,670.88,2023-09-07
PH338,C2541,P4049,235.64,2023-02-22
PH339,C4875,P3179,378.15,2023-12-31
PH340,C1339,P3973,764.72,2023-05-11
PH341,C3790,P2461,941.29,2023-12-13
PH342,C3775,P2604,432.03,2023-01-05
PH343,C2064,P4736,946.38,2023-08-11
PH344,C2889,P2304,696.51,2023-08-31
PH345,C2594,P4082,304.49,2023-06-03
PH346,C1151,P3507,305.15,2023-10-19
PH347,C2536,P3626,640.66,2023-12-04
PH348,C17,P3769,772.2,2023-11-22
PH349,C2050,P3538,91.04,2023-05-05
PH350,C2598,P518,787.55,2023-06-17
PH351,C2615,P3365,588.37,2023-03-02
PH352,C3890,P3771,269.07,2023-06-13
PH353,C2772,P3014,428.44,2023-07-06
PH354,C3407,P2042,155.27,2023-05-02
PH355,C852,P545,327.59,2023-08-23
PH356,C4243,P3468,363.89,2023-05-08
PH357,C444,P2588,785.42,2023-01-22
PH358,C1699,P3192,962.1,2023-06-10
PH359,C2184,P2014,540.61,2023-04-18
PH360,C4625,P3683,473.88,2023-09-03
PH361,C3628,P2393,731.71,2023-10-12
PH362,C3424,P3527,713.93,2023-05-22
PH363,C1065,P4650,664.58,2023-07-28
PH364,C1298,P1042,885.38,2023-03-18
PH365,C44,P3467,655.69,2023-01-23
PH366,C3628,P1003,581.7,2023-12-19
PH367,C3980,P1965,28.45,2023-04-26
PH368,C3646,P199,223.32,2023-08-09
PH369,C1404,P244,28.16,2023-01-06
PH370,C4709,P2928,98.07,2023-12-05
PH371,C1535,P1378,695.32,2023-03-15
PH372,C2795,P3931,335.63,2023-06-23
PH373,C4257,P2415,160.42,2023-07-18
PH374,C4839,P2479,373.46,2023-02-05
PH375,C983,P3237,46.9,2023-07-24
PH376,C1376,P3492,576.69,2023-03-21
PH377,C3179,P4559,330.28,2023-08-11
PH378,C1522,P3117,92.54,2023-08-09
PH379,C2702,P1627,777.24,2023-12-31
PH380,C2960,P4391,654.98,2023-03-26
PH381,C3115,P2369,786.55,2023-06-14
PH382,C2015,P3910,251.68,2023-02-03
PH383,C4472,P2845,382.65,2023-09-02
PH384,C1095,P4142,757.81,2023-10-13
PH385,C4786,P2415,122.37,2023-03-24
PH386,C4619,P4551,797.57,2023-06-19
PH387,C4482,P1178,893.83,2023-09-26
PH388,C2775,P2973,133.16,2023-08-27
PH389,C3749,P399,874.98,2023-08-06
PH390,C4415,P2816,76.57,2023-02-08
PH391,C2801,P1858,830.3,2023-03-11
PH392,C3456,P4484,195.99,2023-07-26
PH393,C577,P2650,157.23,2023-02-18
PH394,C354,P4181,226.73,2023-02-03
PH395,C3154,P4066,139.56,2023-01-09
PH396,C1607,P2943,288.26,2023-07-02
PH397,C2944,P1705,801.08,2023-12-26
PH398,C2546,P3637,699.75,2023-06-23
PH399,C222,P281,301.67,2023-09-19
PH400,C641,P4850,642.26,2023-02-07
PH401,C3307,P4983,147.73,2023-11-18
PH402,C226,P3076,595.65,2023-03-27
PH403,C3594,P638,6.1,2023-09-13
PH404,C4515,P4127,436.91,2023-09-28
PH405,C3099,P1080,620.29,2023-04-11
PH406,C2934,P4884,271.83,2023-07-30
PH407,C4817,P4933,942.91,2023-07-19
PH408,C1000,P3808,634.54,2023-06-22
PH409,C451,P1459,632.85,2023-11-05
PH410,C2540,P2360,104.96,2023-05-02
PH411,C1000,P1110,744.34,2023-02-07
PH412,C3368,P3797,174.55,2023-12-28
PH413,C4102,P3136,500.65,2023-07-21
PH414,C1489,P456,679.16,2023-04-15
PH415,C29,P4835,843.53,2023-05-23
PH416,C3849,P3656,355.72,2023-04-08
PH417,C2200,P1383,802.75,2023-06-23
PH418,C250,P2703,369.77,2023-04-21
PH419,C2349,P2780,922.97,2023-11-18
PH420,C3091,P2194,854.09,2023-06-24
PH421,C1029,P2049,532.91,2023-06-02
PH422,C1254,P4473,183.4,2023-10-24
PH423,C886,P164,173.66,2023-06-26
PH424,C2510,P2906,532.82,2023-10-28
PH425,C277,P3518,665.95,2023-07-24
PH426,C2689,P2684,503.02,2023-06-15
PH427,C1524,P209,646.27,2023-03-20
PH428,C3157,P4245,271.73,2023-08-31
PH429,C1438,P4200,839.5,2023-07-01
PH430,C4297,P4796,976.11,2023-04-11
PH431,C4922,P2121,693.91,2023-04-14
PH432,C1186,P1932,440.36,2023-10-23
PH433,C2554,P1517,791.1,2023-07-06
PH434,C341,P1102,649.46,2023-08-15
PH435,C2635,P211,972.42,2023-12-13
PH436,C2645,P2526,248.54,2023-04-16
PH437,C2438,P781,506.11,2023-12-01
PH438,C148,P4518,60.48,2023-03-06
PH439,C4074,P4306,38.06,2023-01-05
PH440,C4516,P3616,601.57,2023-10-01
PH441,C275,P4952,945.97,2023-06-25
PH442,C3907,P2684,22.82,2023-07-22
PH443,C1424,P3421,726.0,2023-02-24
PH444,C594,P1632,182.11,2023-10-16
PH445,C2261,P2235,345.25,2023-04-12
PH446,C2915,P4185,645.51,2023-10-23
PH447,C1720,P2115,601.7,2023-06-23
PH448,C2232,P1567,443.55,2023-09-18
PH449,C4453,P4386,664.2,2023-02-20
PH450,C3920,P3196,13.62,2023-12-14
PH451,C3376,P915,432.95,2023-05-23
PH452,C943,P4181,229.74,2023-04-06
PH453,C947,P3277,195.01,2023-03-05
PH454,C2937,P2288,224.12,2023-06-12
PH455,C904,P1909,608.0,2023-05-19
PH456,C2064,P4496,169.08,2023-07-02
PH457,C1720,P4104,432.98,2023-12-30
PH458,C946,P3295,993.93,2023-06-13
PH459,C1739,P3755,238.57,2023-02-08
PH460,C3520,P3697,795.34,2023-12-25
PH461,C2138,P275,210.98,2023-10-07
PH462,C4380,P477,923.84,2023-09-30
PH463,C158,P2343,962.28,2023-12-19
PH464,C281,P114,518.39,2023-01-17
PH465,C3387,P605,851.83,2023-11-10
PH466,C837,P2247,856.27,2023-02-01
PH467,C34,P4908,425.59,2023-12-30
PH468,C322,P3411,342.54,2023-08-19
PH469,C395,P655,712.15,2023-05-13
PH470,C94,P640,530.45,2023-08-14
PH471,C3143,P4343,204.85,2023-01-15
PH472,C144,P2788,589.3,2023-12-02
PH473,C4651,P270,779.77,2023-04-09
PH474,C4099,P176,138.7,2023-06-17
PH475,C2894,P3151,448.54,2023-05-11
PH476,C408,P1040,942.65,2023-09-12
PH477,C4867,P2096,804.72,2023-07-16
PH478,C4581,P2707,862.11,2023-11-26
PH479,C113,P1545,450.01,2023-08-26
PH480,C4383,P1787,778.57,2023-10-04
PH481,C3103,P3448,153.01,2023-11-22
PH482,C2123,P961,890.63,2023-09-18
PH483,C158,P959,178.89,2023-11-17
PH484,C841,P2575,389.11,2023-08-05
PH485,C304,P3466,470.59,2023-02-13
PH486,C338,P127,727.84,2023-02-24
PH487,C3740,P3183,469.94,2023-10-03
PH488,C918,P2862,252.94,2023-12-01
PH489,C3050,P2256,943.72,2023-08-20
PH490,C4824,P2712,608.52,2023-07-14
PH491,C4111,P256,612.03,2023-07-18
PH492,C2914,P3959,406.18,2023-09-01
PH493,C1728,P1776,250.3,2023-03-31
PH494,C2711,P4303,302.69,2023-01-21
PH495,C3944,P4468,251.82,2023-06-01
PH496,C2063,P2910,450.79,2023-02-20
PH497,C1769,P1510,477.63,2023-03-01
PH498,C2943,P2417,502.13,2023-07-11
PH499,C1503,P1657,947.38,2023-05-04
PH500,C2599,P3129,319.96,2023-10-18
PH501,C3111,P384,528.69,2023-09-02
PH502,C765,P3274,128.21,2023-05-04
PH503,C4577,P808,956.61,2023-04-21
PH504,C2621,P4618,884.24,2023-03-26
PH505,C3308,P1243,527.42,2023-02-19
PH506,C3091,P2905,712.28,2023-12-01
PH507,C894,P3127,499.63,2023-04-01
PH508,C4507,P1972,83.56,2023-12-19
PH509,C1609,P2743,778.98,2023-02-17
PH510,C3248,P2970,926.79,2023-01-10
PH511,C2061,P3370,629.44,2023-08-11
PH512,C84,P3221,147.29,2023-03-10
PH513,C364,P644,649.1,2023-02-25
PH514,C1843,P3558,820.7,2023-07-05
PH515,C3254,P4834,960.77,2023-04-27
PH516,C3736,P1333,404.43,2023-11-01
PH517,C3976,P4492,992.28,2023-04-05
PH518,C682,P3240,555.9,2023-04-13
PH519,C2228,P800,415.84,2023-06-10
PH520,C4491,P4984,430.2,2023-12-20
PH521,C994,P3091,751.67,2023-07-24
PH522,C819,P1299,535.62,2023-07-25
PH523,C913,P4836,178.87,2023-04-10
PH524,C4828,P577,358.35,2023-12-06
PH525,C805,P544,382.83,2023-09-27
PH526,C4396,P3203,329.9,2023-12-06
PH527,C4301,P2310,624.8,2023-04-24
PH528,C1711,P4781,659.54,2023-01-25
PH529,C2787,P498,288.22,2023-07-19
PH530,C2429,P4245,893.82,2023-04-14
PH531,C2977,P4502,961.7,2023-02-15
PH532,C1163,P4508,919.45,2023-05-20
PH533,C3481,P1078,511.0,2023-12-17
PH534,C13,P1202,223.7,2023-12-08
PH535,C3267,P2483,636.31,2023-02-10
PH536,C3742,P739,731.59,2023-04-03
PH537,C2052,P4821,404.4,2023-09-03
PH538,C2724,P1599,607.11,2023-10-24
PH539,C102,P1708,139.51,2023-02-08
PH540,C3650,P3920,579.43,2023-09-21
PH541,C4276,P2245,756.05,2023-04-27
PH542,C1998,P1588,179.92,2023-05-17
PH543,C4456,P4150,837.76,2023-01-26
PH544,C3557,P4652,897.69,2023-02-14
PH545,C2081,P3912,573.19,2023-11-22
PH546,C4123,P3539,579.37,2023-05-10
PH547,C2371,P767,211.35,2023-03-15
PH548,C4449,P2115,932.66,2023-03-15
PH549,C3216,P2073,705.31,2023-03-08
PH550,C1340,P4744,6.84,2023-09-15
PH551,C717,P1161,678.2,2023-09-21
PH552,C956,P1021,141.43,2023-09-08
PH553,C3222,P2800,905.97,2023-02-04
PH554,C2099,P2,956.25,2023-06-16
PH555,C4452,P1826,761.95,2023-03-06
PH556,C4305,P4764,951.41,2023-12-08
PH557,C3044,P2237,9.57,2023-01-22
PH558,C899,P4990,67.5,2023-11-11
PH559,C155,P286,125.65,2023-10-11
PH560,C1251,P4149,672.22,2023-06-29
PH561,C616,P2783,988.31,2023-03-07
PH562,C4882,P1776,601.41,2023-01-03
PH563,C277,P4790,622.93,2023-09-08
PH564,C435,P4723,966.11,2023-09-06
PH565,C93,P721,491.43,2023-03-28
PH566,C1364,P2326,758.08,2023-06-09
PH567,C3463,P3758,790.44,2023-01-18
PH568,C1157,P1500,107.95,2023-07-09
PH569,C349,P3001,50.62,2023-03-28
PH570,C1028,P552,730.99,2023-03-01
PH571,C2213,P2082,180.98,2023-03-23
PH572,C2004,P660,222.95,2023-05-10
PH573,C2989,P4928,569.19,2023-03-19
PH574,C4569,P2435,704.97,2023-03-17
PH575,C1202,P470,93.43,2023-05-01
PH576,C3126,P1019,549.08,2023-01-18
PH577,C2056,P2284,136.06,2023-09-30
PH578,C755,P3776,200.43,2023-12-11
PH579,C2180,P1907,462.71,2023-03-18
PH580,C1308,P2246,496.21,2023-11-29
PH581,C3465,P790,867.76,2023-01-12
PH582,C152,P1266,664.19,2023-02-08
PH583,C809,P4843,936.71,2023-04-19
PH584,C4400,P664,338.06,2023-11-13
PH585,C4424,P1184,30.54,2023-04-14
PH586,C2050,P699,667.57,2023-08-21
PH587,C4215,P4078,252.06,2023-02-18
PH588,C3734,P3975,155.95,2023-01-06
PH589,C2983,P3711,954.75,2023-07-30
PH590,C4980,P1729,751.76,2023-03-21
PH591,C4373,P4476,184.7,2023-01-18
PH592,C792,P1986,589.57,2023-05-12
PH593,C295,P3915,932.6,2023-05-24
PH594,C811,P2305,173.69,2023-07-28
PH595,C1019,P1000,891.65,2023-08-14
PH596,C3950,P4126,331.98,2023-08-29
PH597,C4678,P3440,624.32,2023-07-25
PH598,C2571,P1902,473.81,2023-05-15
PH599,C4871,P1901,524.05,2023-01-25
PH600,C2935,P1772,442.45,2023-01-30
PH601,C2409,P2817,389.77,2023-08-11
PH602,C2993,P279,512.44,2023-02-17
PH603,C2213,P1302,886.53,2023-08-27
PH604,C1550,P370,242.17,2023-09-02
PH605,C4174,P3800,45.71,2023-03-30
PH606,C4101,P60,351.81,2023-10-20
PH607,C1831,P1119,231.03,2023-07-08
PH608,C1571,P4915,288.67,2023-03-24
PH609,C16,P4168,957.7,2023-08-23
PH610,C4846,P1214,376.16,2023-04-22
PH611,C1916,P2732,98.17,2023-02-04
PH612,C1733,P4236,144.72,2023-02-15
PH613,C1813,P4487,999.43,2023-01-25
PH614,C3611,P3503,887.64,2023-04-10
PH615,C391,P4724,644.93,2023-05-08
PH616,C3610,P413,53.12,2023-10-24
